Genre,Name,Platform,Publisher,Year,EU Sales,Global Sales,JP Sales,NA Sales,Other Sales,Rank
Action,Samurai Warriors 4,PS3,Tecmo Koei,2014,0,0.26,0.26,0,0,6554
Action,Sengoku Basara 4,PS3,Capcom,2014,0,0.27,0.27,0,0,6331
Action,Escape Dead Island,PS3,Deep Silver,2014,0.04,0.08,0,0.03,0.01,11275
Action,Deception IV: Blood Ties,PS3,Tecmo Koei,2014,0.02,0.12,0.06,0.02,0.01,9926
Action,Yaiba: Ninja Gaiden Z,PS3,Tecmo Koei,2014,0.04,0.1,0,0.05,0.02,10562
Action,Transformer: Rise of the Dark Spark,PS3,Activision,2014,0.05,0.13,0.01,0.04,0.02,9640
Action,Murdered: Soul Suspect,PS3,Square Enix,2014,0.06,0.15,0.02,0.05,0.02,8767
Action,Castlevania: Lords of Shadow 2,PS3,Konami Digital Entertainment,2014,0.13,0.22,0.02,0.03,0.04,7204
Action,The Amazing Spider-Man 2 (2014),PS3,Activision,2014,0.16,0.29,0.02,0.06,0.05,5978
Action,One Piece: Unlimited World Red,PS3,Namco Bandai Games,2014,0.12,0.3,0.06,0.09,0.05,5828
Action,Metal Gear Solid V: Ground Zeroes,PS3,Konami Digital Entertainment,2014,0.14,0.62,0.27,0.14,0.06,3267
Action,Thief (2014),PS3,Square Enix,2014,0.2,0.4,0.02,0.1,0.08,4802
Action,LEGO The Hobbit,PS3,Warner Bros. Interactive Entertainment,2014,0.32,0.54,0,0.12,0.1,3689
Action,Middle-Earth: Shadow of Mordor,PS3,Warner Bros. Interactive Entertainment,2014,0.33,0.64,0.01,0.2,0.1,3183
Action,Skylanders: Trap Team,PS3,Activision,2014,0.33,0.69,0,0.24,0.12,2955
Action,Lego Batman 3: Beyond Gotham,PS3,Warner Bros. Interactive Entertainment,2014,0.35,0.81,0,0.33,0.13,2551
Action,The Evil Within,PS3,Bethesda Softworks,2014,0.39,0.92,0.12,0.26,0.14,2267
Action,Disney Infinity 2.0: Marvel Super Heroes,PS3,Disney Interactive Studios,2014,0.4,1.02,0,0.44,0.17,2040
Action,The LEGO Movie Videogame,PS3,Warner Bros. Interactive Entertainment,2014,0.48,1.01,0.02,0.33,0.18,2053
Action,Assassin's Creed: Rogue,PS3,Ubisoft,2014,0.62,1.37,0.06,0.46,0.23,1415
Action,Barbie and Her Sisters Puppy Rescue,PS3,Namco Bandai Games,2015,0.01,0.02,0,0,0,15942
Action,Kung Fu Panda: Showdown of Legendary Legends,PS3,Little Orbit,2015,0.02,0.02,0,0,0,15174
Action,Rugby League Live 3,PS3,Tru Blu Entertainment,2015,0.03,0.03,0,0,0,14247
Action,Higurashi no Naku Koro ni Iki,PS3,Kaga Create,2015,0,0.01,0.01,0,0,16109
Action,Final Fantasy XIV: Heavensward,PS3,Square Enix,2015,0,0.02,0.01,0.01,0,15271
Action,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,Arc System Works,2015,0,0.02,0.02,0,0,15563
Action,Natsuiro High School: Seishun Hakusho,PS3,D3Publisher,2015,0,0.02,0.02,0,0,15534
Action,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,Namco Bandai Games,2015,0,0.02,0.02,0,0,14975
Action,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,PS3,Namco Bandai Games,2015,0,0.02,0.02,0,0,15679
Action,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,PS3,Namco Bandai Games,2015,0,0.02,0.02,0,0,15714
Action,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,Namco Bandai Games,2015,0,0.02,0.02,0,0,15743
Action,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,PS3,Namco Bandai Games,2015,0,0.02,0.02,0,0,15472
Action,Winning Post 8 2015,PS3,Tecmo Koei,2015,0,0.02,0.02,0,0,15157
Action,Ukiyo no Shishi,PS3,Namco Bandai Games,2015,0,0.03,0.03,0,0,14251
Action,Bladestorm: Nightmare,PS3,Tecmo Koei,2015,0,0.03,0.03,0,0,14582
Action,BlazBlue: Chrono Phantasma Extend,PS3,PQube,2015,0,0.04,0.04,0,0,13832
Action,Romance of the Three Kingdoms 13,PS3,Tecmo Koei,2015,0,0.04,0.04,0,0,13834
Action,Arslan: The Warriors of Legend,PS3,Tecmo Koei,2015,0,0.05,0.05,0,0,13413
Action,Samurai Warriors 4: Empires,PS3,Tecmo Koei,2015,0,0.06,0.06,0,0,12738
Action,Sengoku Basara 4: Sumeragi,PS3,Capcom,2015,0,0.09,0.09,0,0,11150
Action,Samurai Warriors 4-II,PS3,Tecmo Koei,2015,0,0.11,0.11,0,0,10121
Action,Pro Baseball Spirits 2015,PS3,Konami Digital Entertainment,2015,0,0.15,0.15,0,0,8895
Action,3rd Super Robot Wars Z: Tengoku-Hen,PS3,Namco Bandai Games,2015,0,0.15,0.15,0,0,8848
Action,Yakuza Zero: The Place of Oath,PS3,Sega,2015,0,0.25,0.25,0,0,6726
Action,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Square Enix,2015,0,0.49,0.49,0,0,4028
Action,NHL Legacy,PS3,Electronic Arts,2015,0,0.04,0,0.03,0.01,13987
Action,Monster High: New Ghoul in School,PS3,Little Orbit,2015,0.06,0.07,0,0,0.01,12107
Action,One Piece: Pirate Warriors 3,PS3,Namco Bandai Games,2015,0.09,0.29,0.19,0,0.01,6051
Action,Adventure Time: Finn & Jake Investigations,PS3,Little Orbit,2015,0.07,0.1,0,0.02,0.02,10435
Action,Transformers: Devastation,PS3,Activision,2015,0.07,0.11,0,0.03,0.02,10238
Action,Resident Evil: Revelations 2,PS3,Capcom,2015,0.08,0.32,0.16,0.06,0.03,5587
Action,Skylanders: SuperChargers,PS3,Activision,2015,0.18,0.39,0,0.15,0.06,4886
Action,Disney Infinity 3.0,PS3,Disney Interactive Studios,2015,0.25,0.47,0,0.14,0.08,4186
Action,Metal Gear Solid V: The Phantom Pain,PS3,Konami Digital Entertainment,2015,0.18,0.7,0.22,0.21,0.08,2935
Action,LEGO Dimensions,PS3,Warner Bros. Interactive Entertainment,2015,0.3,0.54,0,0.15,0.09,3709
Action,LEGO Jurassic World,PS3,Warner Bros. Interactive Entertainment,2015,0.44,0.93,0,0.34,0.15,2231
Action,Aegis of Earth: Protonovus Assault,PS3,PQube,2016,0.01,0.03,0,0.01,0,14721
Action,Naruto Shippuden: Ultimate Ninja Storm Collection,PS3,Namco Bandai Games,2016,0.02,0.02,0,0,0,14958
Action,Sengoku Basara: Sanada Yukimura-Den,PS3,Capcom,2016,0,0.02,0.02,0,0,15510
Action,Toukiden 2,PS3,Tecmo Koei,2016,0,0.02,0.02,0,0,15616
Action,Kamen Rider: Battride War Genesis,PS3,Namco Bandai Games,2016,0,0.04,0.04,0,0,13622
Action,Attack on Titan (KOEI),PS3,Tecmo Koei,2016,0,0.06,0.06,0,0,12565
Action,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,Square Enix,2016,0,0.13,0.13,0,0,9540
Action,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,Activision,2016,0.03,0.05,0,0.01,0.01,12932
Action,Lego Star Wars: The Force Awakens,PS3,Warner Bros. Interactive Entertainment,2016,0.07,0.12,0,0.03,0.02,9682
Action,MLB 16: The Show,PS3,Sony Computer Entertainment,2016,0,0.16,0,0.13,0.03,8468
Action,LEGO Marvel's Avengers,PS3,Warner Bros. Interactive Entertainment,2016,0.17,0.32,0,0.1,0.05,5698
Action,LEGO Marvel Super Heroes,PS4,Warner Bros. Interactive Entertainment,2013,0.75,1.56,0.01,0.59,0.21,1195
Action,Yakuza: Ishin,PS4,Sega,2014,0,0.15,0.15,0,0,8939
Action,Infamous: First Light,PS4,Sony Computer Entertainment,2014,0.03,0.04,0,0,0.01,13761
Action,Lara Croft and the Temple of Osiris,PS4,Square Enix,2014,0.07,0.08,0,0,0.01,11267
Action,Terraria,PS4,505 Games,2014,0.05,0.06,0.01,0,0.01,12442
Action,Akiba's Trip: Undead & Undressed,PS4,Acquire,2014,0,0.11,0.01,0.08,0.02,10100
Action,Dynasty Warriors 8: Empires,PS4,Tecmo Koei,2014,0.07,0.18,0.03,0.06,0.02,8027
Action,Warriors Orochi 3,PS4,Tecmo Koei,2014,0.05,0.15,0.04,0.04,0.02,8908
Action,Godzilla (2015),PS4,Namco Bandai Games,2014,0.03,0.18,0.02,0.1,0.03,8145
Action,Samurai Warriors 4,PS4,Tecmo Koei,2014,0.07,0.24,0.06,0.08,0.03,6893
Action,Transformer: Rise of the Dark Spark,PS4,Activision,2014,0.1,0.21,0.01,0.07,0.04,7386
Action,Onechanbara Z2: Chaos,PS4,Nippon Ichi Software,2014,0.02,0.24,0.04,0.13,0.04,6925
Action,Dynasty Warriors 8: Xtreme Legends,PS4,Tecmo Koei,2014,0.11,0.3,0.06,0.09,0.04,5878
Action,Murdered: Soul Suspect,PS4,Square Enix,2014,0.16,0.32,0.02,0.09,0.05,5615
Action,Skylanders: Trap Team,PS4,Activision,2014,0.17,0.43,0,0.18,0.07,4564
Action,Sleeping Dogs,PS4,Square Enix,2014,0.2,0.43,0,0.16,0.07,4517
Action,The Amazing Spider-Man 2 (2014),PS4,Activision,2014,0.25,0.55,0.02,0.2,0.09,3666
Action,Disney Infinity 2.0: Marvel Super Heroes,PS4,Disney Interactive Studios,2014,0.24,0.6,0,0.26,0.1,3378
Action,LEGO The Hobbit,PS4,Warner Bros. Interactive Entertainment,2014,0.37,0.6,0,0.12,0.1,3353
Action,The LEGO Movie Videogame,PS4,Warner Bros. Interactive Entertainment,2014,0.31,0.67,0.01,0.24,0.11,3030
Action,Metro: Last Light,PS4,Deep Silver,2014,0.3,0.68,0.04,0.22,0.12,2989
Action,Lego Batman 3: Beyond Gotham,PS4,Warner Bros. Interactive Entertainment,2014,0.39,0.92,0,0.37,0.15,2265
Action,Thief (2014),PS4,Square Enix,2014,0.37,0.84,0.03,0.28,0.16,2454
Action,Metal Gear Solid V: Ground Zeroes,PS4,Konami Digital Entertainment,2014,0.46,1.28,0.17,0.45,0.2,1543
Action,Tomb Raider (2013),PS4,Square Enix,2014,0.64,1.41,0.06,0.47,0.25,1367
Action,Professional Farmer 2016,PS4,Namco Bandai Games,2015,0.01,0.02,0,0,0,15928
Action,The Peanuts Movie: Snoopy's Grand Adventure,PS4,Activision,2015,0.02,0.03,0,0,0,14837
Action,Legend of Kay Anniversary,PS4,Nordic Games,2015,0.02,0.02,0,0,0,15445
Action,Rugby League Live 3,PS4,Tru Blu Entertainment,2015,0.02,0.02,0,0,0,15089
Action,Natsuiro High School: Seishun Hakusho,PS4,D3Publisher,2015,0,0.02,0.02,0,0,15477
Action,Sengoku Basara 4: Sumeragi,PS4,Capcom,2015,0,0.05,0.05,0,0,13140
Action,Romance of the Three Kingdoms 13,PS4,Tecmo Koei,2015,0,0.06,0.05,0.01,0,12691
Action,God Eater Resurrection,PS4,Namco Bandai Games,2015,0,0.08,0.08,0,0,11384
Action,Devil May Cry 4,PS4,Capcom,2015,0,0.09,0.08,0.01,0,10906
Action,Earth Defense Force 2025.1: The Shadow of New Despair,PS4,D3Publisher,2015,0,0.1,0.1,0,0,10675
Action,Yakuza Zero: The Place of Oath,PS4,Sega,2015,0,0.17,0.17,0,0,8261
Action,Let's Sing 2016,PS4,FuRyu Corporation,2015,0,0.03,0,0.02,0.01,14760
Action,Toy Soldiers: War Chest,PS4,Ubisoft,2015,0,0.07,0,0.06,0.01,12078
Action,Nights of Azure,PS4,Tecmo Koei,2015,0.02,0.06,0,0.03,0.01,12731
Action,Assassin's Creed Chronicles: China,PS4,Ubisoft,2015,0.03,0.04,0,0,0.01,14085
Action,Legend of Kay,PS4,Nordic Games,2015,0.03,0.06,0,0.02,0.01,12328
Action,Saints Row: Gat out of Hell,PS4,Deep Silver,2015,0.04,0.05,0,0,0.01,13287
Action,Adventure Time: Finn & Jake Investigations,PS4,Little Orbit,2015,0.04,0.09,0,0.03,0.01,11185
Action,The Crew: Wild Run,PS4,Ubisoft,2015,0.08,0.09,0,0,0.01,10893
Action,Arslan: The Warriors of Legend,PS4,Tecmo Koei,2015,0.01,0.08,0.04,0.02,0.01,11299
Action,Gravity Rush Remastered,PS4,Sony Computer Entertainment,2015,0.05,0.13,0.04,0.02,0.01,9578
Action,Samurai Warriors 4: Empires,PS4,Tecmo Koei,2015,0.01,0.09,0.05,0.02,0.01,11077
Action,Samurai Warriors 4-II,PS4,Tecmo Koei,2015,0.02,0.11,0.06,0.03,0.01,10114
Action,Final Fantasy XIV: Heavensward,PS4,Square Enix,2015,0.05,0.12,0.06,0,0.01,9729
Action,BlazBlue: Chrono Phantasma Extend,PS4,PQube,2015,0.03,0.14,0.02,0.07,0.02,9263
Action,Toukiden Kiwami,PS4,Tecmo Koei,2015,0.07,0.17,0.02,0.05,0.02,8416
Action,Bladestorm: Nightmare,PS4,Tecmo Koei,2015,0.04,0.16,0.03,0.07,0.02,8530
Action,Senran Kagura: Estival Versus,PS4,Marvelous Interactive,2015,0,0.17,0.08,0.07,0.02,8450
Action,Transformers: Devastation,PS4,Activision,2015,0.08,0.22,0,0.1,0.04,7256
Action,Darksiders II,PS4,Nordic Games,2015,0.1,0.22,0,0.09,0.04,7282
Action,Skylanders: SuperChargers,PS4,Activision,2015,0.08,0.3,0,0.17,0.05,5893
Action,Deadpool,PS4,Activision,2015,0.1,0.28,0,0.13,0.05,6261
Action,DmC: Devil May Cry,PS4,Capcom,2015,0.13,0.3,0,0.12,0.05,5874
Action,One Piece: Pirate Warriors 3,PS4,Namco Bandai Games,2015,0.22,0.45,0.1,0.08,0.05,4363
Action,Dishonored,PS4,Bethesda Softworks,2015,0.18,0.37,0.02,0.11,0.06,5141
Action,Wolfenstein: The Old Blood,PS4,Bethesda Softworks,2015,0.25,0.42,0.02,0.09,0.06,4630
Action,Saints Row IV,PS4,Deep Silver,2015,0.17,0.38,0.03,0.13,0.06,4977
Action,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Square Enix,2015,0.13,0.71,0.37,0.16,0.06,2864
Action,Resident Evil: Revelations 2,PS4,Capcom,2015,0.24,0.54,0.1,0.13,0.07,3713
Action,Rory McIlroy PGA Tour,PS4,Electronic Arts,2015,0.24,0.51,0,0.18,0.08,3935
Action,LEGO Dimensions,PS4,Warner Bros. Interactive Entertainment,2015,0.32,0.64,0,0.22,0.1,3174
Action,God of War III,PS4,Sony Computer Entertainment,2015,0.29,0.63,0.01,0.23,0.1,3214
Action,Disney Infinity 3.0,PS4,Disney Interactive Studios,2015,0.36,0.68,0,0.21,0.11,2981
Action,LEGO Jurassic World,PS4,Warner Bros. Interactive Entertainment,2015,0.42,0.89,0.01,0.32,0.14,2331
Action,Mad Max (2015),PS4,Warner Bros. Interactive Entertainment,2015,0.58,1.11,0.04,0.32,0.17,1834
Action,Dying Light,PS4,Warner Bros. Interactive Entertainment,2015,0.66,1.66,0.11,0.63,0.26,1099
Action,Resident Evil 5 HD,PS4,Capcom,2016,0,0.01,0,0.01,0,16098
Action,Dead Rising,PS4,Capcom,2016,0,0.02,0,0.01,0,15341
Action,Paragon,PS4,Epic Games,2016,0,0.01,0,0.01,0,16263
Action,Aegis of Earth: Protonovus Assault,PS4,PQube,2016,0,0.02,0,0.02,0,15169
Action,This War of Mine,PS4,Deep Silver,2016,0.01,0.02,0,0,0,15717
Action,Prison Architect,PS4,Introversion Software,2016,0.01,0.02,0,0.01,0,15085
Action,Worms: WMD,PS4,Sold Out,2016,0.01,0.02,0,0.01,0,15943
Action,Anima - Gate of Memories,PS4,Avanquest,2016,0.02,0.02,0,0,0,15397
Action,Dragon's Dogma Online: Season 2,PS4,Capcom,2016,0,0.01,0.01,0,0,16139
Action,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,Namco Bandai Games,2016,0,0.01,0.01,0,0,16022
Action,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,Namco Bandai Games,2016,0,0.01,0.01,0,0,16553
Action,Dynasty Warriors: Eiketsuden,PS4,Tecmo Koei,2016,0,0.01,0.01,0,0,16223
Action,Republique,PS4,Nippon Ichi Software,2016,0.01,0.01,0.01,0,0,16178
Action,Resident Evil: Umbrella Corps,PS4,Capcom,2016,0,0.02,0.02,0,0,15406
Action,Sengoku Basara: Sanada Yukimura-Den,PS4,Capcom,2016,0,0.03,0.03,0,0,14814
Action,Summon Night 6: Lost Borders,PS4,Namco Bandai Games,2016,0,0.03,0.03,0,0,14430
Action,Kamen Rider: Battride War Genesis,PS4,Namco Bandai Games,2016,0,0.05,0.05,0,0,12837
Action,Toukiden 2,PS4,Tecmo Koei,2016,0,0.08,0.08,0,0,11426
Action,Gundam Breaker 3,PS4,Namco Bandai Games,2016,0,0.09,0.09,0,0,10846
Action,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,Square Enix,2016,0,0.28,0.28,0,0,6205
Action,Ghostbusters (2016),PS4,Activision,2016,0,0.03,0,0.02,0.01,14683
Action,Song of the Deep,PS4,Insomniac Games,2016,0,0.06,0,0.05,0.01,12390
Action,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Activision,2016,0.02,0.07,0,0.04,0.01,11843
Action,Hitman (2016),PS4,Square Enix,2016,0.04,0.04,0,0,0.01,13649
Action,ZombiU,PS4,Ubisoft,2016,0.04,0.05,0.01,0,0.01,12927
Action,Assassin's Creed Chronicles,PS4,Ubisoft,2016,0.05,0.08,0.01,0.01,0.01,11583
Action,7 Days to Die,PS4,Telltale Games,2016,0.07,0.12,0,0.03,0.02,9880
Action,Dead Island Definitive Collection,PS4,Deep Silver,2016,0.07,0.12,0.01,0.02,0.02,9995
Action,Attack on Titan (KOEI),PS4,Tecmo Koei,2016,0.06,0.2,0.11,0.02,0.02,7499
Action,The Heavy Rain and Beyond: Two Souls Collection,PS4,Sony Computer Entertainment,2016,0.16,0.19,0,0,0.03,7894
Action,TrackMania Turbo,PS4,Ubisoft,2016,0.24,0.32,0,0.03,0.05,5623
Action,Resident Evil Zero,PS4,Capcom,2016,0.17,0.36,0.05,0.09,0.05,5174
Action,Lego Star Wars: The Force Awakens,PS4,Warner Bros. Interactive Entertainment,2016,0.32,0.54,0,0.14,0.08,3748
Action,LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,2016,0.29,0.64,0,0.25,0.1,3151
Action,MLB 16: The Show,PS4,Sony Computer Entertainment,2016,0,0.84,0,0.68,0.16,2459
Action,No Man's Sky,PS4,Hello Games,2016,0.74,1.6,0.02,0.58,0.26,1158
Action,Prinny: Can I Really Be The Hero? (US sales),PSP,N/A,,0,0.06,0,0.06,0,12519
Action,Fullmetal Alchemist: Brotherhood,PSP,Unknown,,0,0.03,0.03,0,0,14380
Action,LEGO Harry Potter: Years 5-7,PSP,Warner Bros. Interactive Entertainment,,0.11,0.27,0,0.1,0.06,6321
Action,The Golden Compass,PSP,Sega,,0.16,0.38,0,0.11,0.1,5080
Action,LEGO Batman: The Videogame,PSP,Warner Bros. Interactive Entertainment,,0.46,1.32,0,0.57,0.28,1500
Action,Dynasty Warriors,PSP,Tecmo Koei,2004,0.01,0.51,0.3,0.18,0.02,3905
Action,Rainbow Islands: Revolution,PSP,Rising Star Games,2005,0,0.01,0,0.01,0,16298
Action,Gundam Battle Tactics,PSP,Namco Bandai Games,2005,0,0.07,0.07,0,0,11773
Action,Rengoku: The Tower of Purgatory,PSP,Konami Digital Entertainment,2005,0,0.11,0,0.1,0.01,10339
Action,Samurai Warriors: State of War,PSP,Tecmo Koei,2005,0,0.19,0.11,0.07,0.01,7986
Action,Peter Jackson's King Kong: The Official Game of the Movie,PSP,Ubisoft,2005,0.01,0.19,0,0.16,0.02,7781
Action,Harry Potter and the Goblet of Fire,PSP,Electronic Arts,2005,0.01,0.2,0,0.17,0.02,7682
Action,Twisted Metal: Head On,PSP,Sony Computer Entertainment,2005,0,0.77,0,0.71,0.06,2680
Action,Spider-Man 2,PSP,Activision,2005,0.21,0.71,0,0.35,0.14,2902
Action,Rengoku II:  The Stairway To H.E.A.V.E.N.,PSP,Konami Digital Entertainment,2006,0,0.02,0,0.02,0,14970
Action,Bounty Hounds,PSP,Namco Bandai Games,2006,0,0.03,0,0.03,0,14123
Action,Dynasty Warriors Vol. 2,PSP,Tecmo Koei,2006,0,0.05,0,0.04,0,13254
Action,Xiaolin Showdown,PSP,Konami Digital Entertainment,2006,0,0.06,0,0.05,0,12539
Action,Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),PSP,Konami Digital Entertainment,2006,0,0.01,0.01,0,0,16026
Action,Dynasty Warriors Vol. 2 (JP sales),PSP,Tecmo Koei,2006,0,0.04,0.04,0,0,13900
Action,Gundam Battle Royale,PSP,Namco Bandai Games,2006,0,0.12,0.12,0,0,9698
Action,Warhammer: Battle For Atluma,PSP,Namco Bandai Games,2006,0,0.06,0,0.05,0.01,12381
Action,Viewtiful Joe: Red Hot Rumble,PSP,Capcom,2006,0,0.09,0,0.08,0.01,11145
Action,Power Stone Collection,PSP,Capcom,2006,0,0.1,0,0.08,0.01,10736
Action,Def Jam Fight For NY: The Takeover,PSP,Electronic Arts,2006,0,0.09,0,0.08,0.01,10950
Action,50 Cent: Bulletproof,PSP,Vivendi Games,2006,0,0.09,0,0.08,0.01,11195
Action,EA Replay,PSP,Electronic Arts,2006,0,0.11,0,0.09,0.01,10208
Action,Eragon,PSP,Vivendi Games,2006,0,0.11,0,0.1,0.01,10169
Action,Gun Showdown,PSP,Activision,2006,0.01,0.06,0,0.05,0.01,12526
Action,Mercury Meltdown,PSP,Atari,2006,0.01,0.06,0,0.05,0.01,12585
Action,From Russia With Love,PSP,Electronic Arts,2006,0.01,0.08,0,0.07,0.01,11311
Action,Mind Quiz,PSP,Ubisoft,2006,0.01,0.1,0,0.08,0.01,10801
Action,The Godfather: Mob Wars,PSP,Electronic Arts,2006,0.01,0.11,0,0.09,0.01,10294
Action,Star Wars: Lethal Alliance,PSP,Ubisoft,2006,0.01,0.13,0,0.11,0.01,9425
Action,Family Guy,PSP,Take-Two Interactive,2006,0,0.2,0,0.18,0.02,7717
Action,Metal Gear Solid: Portable Ops,PSP,Konami Digital Entertainment,2006,0.35,1.19,0.38,0.38,0.09,1687
Action,Tomb Raider: Legend,PSP,Eidos Interactive,2006,0.24,0.46,0,0.09,0.12,4284
Action,SpongeBob SquarePants: The Yellow Avenger,PSP,THQ,2006,0.21,0.92,0,0.55,0.16,2254
Action,LEGO Star Wars II: The Original Trilogy,PSP,LucasArts,2006,0.51,1.41,0,0.58,0.32,1368
Action,Heatseeker,PSP,Codemasters,2007,0,0.04,0,0.04,0,13505
Action,Pocket Pool,PSP,Conspiracy Entertainment,2007,0,0.04,0,0.04,0,13629
Action,Dead Head Fred,PSP,D3Publisher,2007,0,0.04,0,0.04,0,13520
Action,Taito Legends Power Up,PSP,Destineer,2007,0,0.05,0,0.05,0,12969
Action,Gundam Battle Chronicle,PSP,Namco Bandai Games,2007,0,0.22,0.22,0,0,7155
Action,Beowulf: The Game,PSP,Ubisoft,2007,0,0.09,0,0.08,0.01,11062
Action,Hot Wheels Ultimate Racing,PSP,Activision,2007,0,0.1,0,0.09,0.01,10543
Action,Spider-Man: Friend or Foe,PSP,Activision,2007,0,0.18,0,0.16,0.01,8092
Action,TMNT,PSP,Ubisoft,2007,0.01,0.12,0,0.1,0.01,9962
Action,Ghost Rider,PSP,Take-Two Interactive,2007,0,0.24,0,0.22,0.02,6883
Action,Prince of Persia: Rival Swords,PSP,Ubisoft,2007,0.02,0.12,0,0.08,0.02,9837
Action,The Warriors,PSP,Take-Two Interactive,2007,0.02,0.28,0,0.23,0.03,6217
Action,Pursuit Force: Extreme Justice,PSP,Sony Computer Entertainment,2007,0.07,0.17,0,0.07,0.03,8314
Action,Jackass the Game,PSP,Empire Interactive,2007,0.08,0.22,0,0.09,0.05,7211
Action,300: March to Glory,PSP,Warner Bros. Interactive Entertainment,2007,0.08,0.41,0,0.27,0.06,4712
Action,Aliens vs Predator: Requiem,PSP,Vivendi Games,2007,0.12,0.22,0,0.03,0.07,7203
Action,Shrek the Third,PSP,Activision,2007,0.15,0.32,0,0.08,0.09,5686
Action,Harry Potter and the Order of the Phoenix,PSP,Electronic Arts,2007,0.17,0.37,0,0.1,0.1,5133
Action,Pirates of the Caribbean: At World's End,PSP,Disney Interactive Studios,2007,0.17,0.43,0,0.15,0.1,4566
Action,Manhunt 2,PSP,Take-Two Interactive,2007,0.18,0.32,0,0.04,0.1,5664
Action,Silent Hill: Origins,PSP,Konami Digital Entertainment,2007,0.16,0.53,0.04,0.22,0.1,3819
Action,Tomb Raider: Anniversary,PSP,Eidos Interactive,2007,0.23,0.57,0,0.21,0.13,3524
Action,Crash of the Titans,PSP,Vivendi Games,2007,0.25,0.64,0,0.25,0.15,3140
Action,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,Activision,2007,0.27,0.66,0,0.23,0.16,3091
Action,Ratatouille,PSP,THQ,2007,0.28,0.67,0,0.22,0.16,3031
Action,Metal Gear Solid: Portable Ops Plus,PSP,Konami Digital Entertainment,2007,0.01,0.69,0.26,0.26,0.17,2946
Action,Ben 10: Protector of Earth,PSP,D3Publisher,2007,0.31,0.72,0,0.23,0.18,2847
Action,The Simpsons Game,PSP,Electronic Arts,2007,0.55,1.09,0,0.24,0.31,1874
Action,Downstream Panic!,PSP,Atari,2008,0,0.03,0,0.03,0,14507
Action,Code Lyoko: Quest for Infinity,PSP,Game Factory,2008,0,0.03,0,0.03,0,14420
Action,Hellboy: The Science of Evil,PSP,Konami Digital Entertainment,2008,0,0.04,0,0.04,0,13663
Action,Samurai Dou Portable,PSP,Spike,2008,0,0.05,0.05,0,0,12848
Action,Warriors Orochi,PSP,Tecmo Koei,2008,0,0.2,0.18,0.02,0,7588
Action,Hammerin' Hero,PSP,Irem Software Engineering,2008,0,0.07,0,0.06,0.01,12136
Action,Kenka Bancho: Badass Rumble,PSP,Spike,2008,0,0.27,0.2,0.06,0.01,6263
Action,Warriors Orochi 2,PSP,Tecmo Koei,2008,0,0.29,0.22,0.06,0.01,6095
Action,Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,Activision,2008,0.02,0.16,0,0.12,0.02,8481
Action,Iron Man,PSP,Sega,2008,0.09,0.63,0,0.46,0.09,3202
Action,Ben 10: Alien Force,PSP,Koch Media,2008,0.14,0.59,0,0.35,0.1,3431
Action,Star Wars: The Force Unleashed,PSP,LucasArts,2008,0.41,1.09,0,0.43,0.25,1872
Action,LEGO Indiana Jones: The Original Adventures,PSP,LucasArts,2008,0.49,1.18,0,0.4,0.29,1709
Action,Fuun Shinsengumi Bakumatsuden Portable,PSP,From Software,2009,0,0.01,0,0.01,0,16315
Action,Astro Boy: The Video Game,PSP,D3Publisher,2009,0,0.04,0,0.04,0,13799
Action,SpongeBob's Truth or Square (US sales),PSP,THQ,2009,0,0.39,0,0.39,0,4905
Action,The Amazing Spider-Man (DS & Mobile Versions),PSP,Eidos Interactive,2009,0.01,0.01,0,0,0,16359
Action,Tenchu San Portable,PSP,From Software,2009,0,0.01,0.01,0,0,16405
Action,Kenka Banchou Portable,PSP,Spike,2009,0,0.01,0.01,0,0,16353
Action,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,D3Publisher,2009,0,0.02,0.02,0,0,15183
Action,Soul Eater: Battle Resonance,PSP,Namco Bandai Games,2009,0,0.03,0.03,0,0,14898
Action,Ookami Kakushi,PSP,Konami Digital Entertainment,2009,0,0.04,0.04,0,0,13736
